AppID,Name,Release date,Developers,Publishers,Price,total_reviews,review_score_percent,Genres
1092730,Hello Neighbor Alpha 3,"Oct 17, 2019",Dynamic Pixels,tinyBuild,0.0,1524,76.44356955380577,"Adventure, Indie, Strategy"
858820,Tribes of Midgard,"Jul 27, 2021",Norsfell,Gearbox Publishing,4.99,22475,76.51612903225806,"Action, Adventure, Indie, RPG"
1100930,Legioncraft,"Aug 19, 2022","Way York, SilverBlade",INDIECN,13.99,1371,78.92049598832969,"Indie, RPG, Strategy"
1541250,Super Raft Boat Classic,"Feb 21, 2021","Jason Gertner, Carson Kompon, Yukon Wainczak, Jennifer Kindl",Shattered Journal Games,0.0,931,93.01825993555317,"Action, Indie, Free To Play"
924980,Trials of Mana,"Apr 24, 2020",Square Enix,Square Enix,19.99,5450,91.77981651376147,RPG
1019550,Thief Simulator VR,"Nov 5, 2020",GameBoom VR,PlayWay S.A.,1.99,1309,68.75477463712758,"Action, Indie, Simulation"
854940,Ikenfell,"Oct 8, 2020",Happy Ray Games,Humble Games,5.99,1170,90.85470085470085,"Indie, RPG"
1475400,"Run Prop, Run! - Puropu Pursuit","Jun 23, 2021",PlayTogether Studio,PlayTogether Studio,0.0,924,77.48917748917748,"Casual, Free To Play, Early Access"
1252710,Cardaclysm,"Feb 26, 2021",Elder Games,Headup,1.49,544,65.99264705882352,"RPG, Strategy"
1140610,Death Live,"Sep 12, 2019",橘子班,NVLMaker,0.54,677,86.70605612998523,"Adventure, Casual, Indie"
1660910,Tanks: The Crusades,"Jun 24, 2021",Aehmttw (Matei Budiu),Aehmttw (Matei Budiu),0.0,704,94.0340909090909,"Action, Casual, Indie, Strategy, Free To Play"
810500,PowerBeatsVR - VR Fitness,"Nov 18, 2020",Five Mind Creations,Five Mind Creations,11.39,534,83.52059925093633,"Action, Casual, Indie, Sports"
550840,Fresh Body,"Jul 22, 2021",LOVIGAME,LOVIGAME,2.49,1301,74.78862413528056,"Action, Adventure, Indie, RPG"
1145660,Drift Of The Hill,"Feb 14, 2020",RewindApp,RewindApp,0.99,857,71.06184364060677,"Indie, Racing, Simulation"
1122750,异化之恶〇Abnormal Treatment,"Aug 2, 2019",Eternal Dream,"Eternal Dream, 迷糊的安安",0.0,3502,97.48715019988578,"Adventure, Indie, RPG, Free To Play"
